Product code,Category,Ingredient List,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),image_path
130,Bacon,"Koji Culture, Water, Yeast, Coconut Oil, Konjac Root Flour, Natural Flavor, less than 2 percent of: Rice Bran Oil, Rice, Sea Salt, Natural Smoke Flavor, Natural Lycopene For Color, Hydrated Lime",15.0,35.0,2.5,1.5,0.0,0.0,0.0,0.0,85.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,38.0,images/Bacon/130.jpg
139,Bacon,"Seaweed, Chickpea, Coconut Oil, Sunflower Oil, Plant Flavors & Natural Colors",27.0,180.0,19.0,4.0,0.0,0.0,0.0,0.0,420.0,3.0,1.0,1.0,1.0,1.0,0.0,2.7,0.1,224.0,images/Bacon/139.jpg
155,Bacon,"Water, Protein Blend (Rice Flour, Wheat Protein, Soy Protein, Pea Protein), Modified Food Starch, Sunflower Oil, Coconut Oil, Natural Flavor, Sustainable Palm Oil, Contains 2% or Less of: Yeast Extract, Salt, Sugar, Maltodextrin, Lecithin, Natural Smoke Flavor, Beet Powder, Xanthan Gum, Tapioca Starch, Dextrose, Sodium Citrate.",17.0,294.0,11.8,1.2,0.0,0.0,0.0,0.0,1000.0,29.4,0.0,1.9,0.0,11.8,0.0,0.0,0.0,0.0,images/Bacon/155.jpg
172,Bacon,"Water, Coconut Oil, White Rice Flour, Pea Starch, Tapioca Starch, Natural Flavors, Curdlan Gum, Salt, Natural Smoke Flavoring, Maple Syrup, Gum Acacia, Apple Extract, Beet Juice Concentrate, Purple Sweet Potato Extract, Yeast Extract, Inactive Dried Yeast, Lemon Juice Concentrate",15.0,40.0,2.5,3.2,0.0,0.0,0.0,0.0,110.0,4.0,2.1,0.1,1.6,0.0,0.0,0.0,0.0,137.4,images/Bacon/172.jpg
182,Bacon,"Water, Soy Protein Isolate, Vital Wheat Gluten, Soybean Oil, Soy Protein Concentrate, Textured Wheat Gluten, Less Than 2% Of: Salt, Sugar, Carrageenan, Natural Flavor, Autolyzed Yeast Extract, Natural Smoke Flavor, Spices, Fermented Rice Flour, Oleoresin Paprika (Color), Potassium Chloride",20.0,40.0,2.0,0.0,0.0,0.0,1.0,0.0,290.0,0.99,0.0,0.0,0.0,5.0,0.0,10.0,0.5,100.0,images/Bacon/182.jpg
201,Bacon,"Water, Rehydrated Textured SOYA and WHEAT Protein (22%)(Water, SOYA Protein, WHEAT Protein, Salt, SOYA Bean Oil, Natural Flavouring), Vegetable Oils (Rapeseed and/or Sunflower), Stabilisers: Carrageenan, Guar Gum, Methyl Cellulose; WHEAT Protein (4%), SOYA Protein (2%), Salt, Dextrose, Natural Flavourings, Colouring Foods: Blackcurrant, Radish, Apple; Starch, Smoke Flavouring, Potato Fibre, Acidity Regulator: Citric Acid",30.0,54.0,3.4,1.5,0.0,0.0,0.0,0.0,690.0,1.5,3.7,1.6,0.48,3.7,0.0,0.0,0.0,0.0,images/Bacon/201.jpg
240,Bacon,"Seaweed, Chickpea, Coconut Oil, Sunflower Oil, Plant Flavors And Natural Colors, Sea Salt.",26.7,190.0,20.0,2.5,0.0,,,19.0,450.0,3.0,0.0,1.7,0.0,1.0,0.0,0.0,0.0,7.4,images/Bacon/240.jpg
255,Bacon,"Water, Soya Protein Concentrate (11%), Olive Oil (8%), Dextrin, Soya Protein Isolate (3%), Smoke Flavouring, Pea Protein Isolate (1%), Smoked Water, Alginate, Maize Starch, Psyllium Fibre, Rapeseed Oil, Potato Starch, Vegetable Extracts (Radish, Beetroot, Carrot, Paprika), Salt, Maltodextrin, Smoked Salt, Stabiliser: Calcium Sulphate, Vitamin B12, Iron.",100.0,181.0,9.6,1.5,0.1,0.0,0.0,0.0,1560.0,8.1,3.4,0.7,0.0,13.5,0.0,0.0,1.9,0.0,images/Bacon/255.jpg
268,Bacon,"Mushroom Mycelium, Salt, Coconut Oil, Sugar, Natural Flavors, Beet Juice Concentrate (For Color)",15.0,50.0,3.0,0.0,0.0,0.0,0.0,20.0,340.0,4.0,0.0,0.0,0.0,3.0,0.0,7.1,0.0,27.1,images/Bacon/268.jpg
272,Bacon,"Organic Mushroom Mycelium, Organic Coconut Oil, Organic Sugar, Natural Flavor, Salt",18.0,60.0,3.0,2.0,0.0,0.0,0.0,0.0,420.0,5.0,2.0,2.0,2.0,3.0,0.0,3.0,0.0,100.0,images/Bacon/272.jpg
